kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,mixed_multiline_whole,3,current,474410.1827242814,460403.1127450981,463198.8061166149,488187.48292093084
decode,mixed_multiline_whole,3,published,956656.8338880884,910213.2069327731,921492.8535699836,995253.3287162692
decode,mixed_multiline_whole,3,core,822672.3738207899,765513.4202279202,794239.7089094194,853615.3001542776
decode,alternating_sizes_tcp,1,current,141565.04103046443,135731.75833333333,136333.9060925635,148341.69183000966
decode,alternating_sizes_tcp,1,published,1114299.341654385,1010133.3195378152,1062786.7470949637,1169642.0832948722
decode,alternating_sizes_tcp,1,core,150925.83854465114,141226.96666666667,143752.4590985916,160043.19333341197
decode,alternating_sizes_tcp,2,current,132108.33722812144,128200.53538426865,128150.71622736729,137210.2185728856
decode,alternating_sizes_tcp,2,published,1115785.2165474547,1072402.2362903226,1083539.6871618878,1153998.4303943499
decode,alternating_sizes_tcp,2,core,152820.1474517501,141772.3681515617,145678.57528100593,160909.62128709714
decode,alternating_sizes_tcp,3,current,139031.38990312145,135557.69553571427,135392.39089837682,143543.46988554767
decode,alternating_sizes_tcp,3,published,1091173.4070445427,1060154.65,1063765.5392682457,1122053.028341054
decode,alternating_sizes_tcp,3,core,144629.5089069098,139582.09507575756,140239.5789575485,149836.7640526516
decode,varied_sizes_tcp,1,current,36374.23455378968,32482.543067226892,34038.86212126052,39006.375838688306
decode,varied_sizes_tcp,1,published,241377.87527832357,233737.3043608124,235110.53290988912,249507.69403584165
decode,varied_sizes_tcp,1,core,32089.47695819753,30865.78816626224,31307.63707195319,32959.57985300264
decode,varied_sizes_tcp,2,current,39939.57748664251,34699.934912854034,35682.74646755214,46228.02569744233
decode,varied_sizes_tcp,2,published,274709.32510585163,247184.28715277778,260653.12543263982,289462.7462022745
decode,varied_sizes_tcp,2,core,43392.28924398138,40811.32907075874,41411.53061196438,45570.95376860941
decode,varied_sizes_tcp,3,current,34733.43808069304,33302.56354896529,33533.16581550324,36142.662058303795
decode,varied_sizes_tcp,3,published,239819.224529608,233851.02931034483,234858.13870099248,245970.29670610887
decode,varied_sizes_tcp,3,core,33122.12469531559,31789.981698564596,32058.68212951675,34446.67692563193
decode,comment_crlf_tcp,1,current,444298.8076711178,427620.94088319084,430498.89078187844,462237.0013774173
decode,comment_crlf_tcp,1,published,656050.0169516711,618717.1102941176,624921.0417067523,695578.8737750584
decode,comment_crlf_tcp,1,core,1234303.8735282193,1140580.1269230768,1181766.122040052,1292859.2325396151
decode,comment_crlf_tcp,2,current,492288.69556330534,458384.55658263306,475532.2193976986,509716.00778772496
decode,comment_crlf_tcp,2,published,1994635.954336084,1071649.0964285715,1260583.188766692,2976666.6545937615
decode,comment_crlf_tcp,2,core,1498240.8348359333,1483199.268181818,1430024.0982538343,1576332.083757192
decode,comment_crlf_tcp,3,current,469921.6924038517,450884.7325890484,457986.53721738775,483539.97860009695
decode,comment_crlf_tcp,3,published,672967.1446559022,645482.9773706896,656167.8189065318,694616.3555295517
decode,comment_crlf_tcp,3,core,1210753.2666136369,1164206.338235294,1180651.350148271,1245515.4065997344
encode,small_json,1,current,14.3914701078251,13.96235798745099,13.903625143595946,14.998504484441332
encode,small_json,1,published,93.30792654718573,85.3108353875258,86.86142315897476,100.67916276165828
encode,small_json,2,current,14.73557954464643,14.462400332769983,14.475365890487224,15.027863569534672
encode,small_json,2,published,85.16441374026836,84.90966028235543,82.90065626284749,87.74835402887676
encode,small_json,3,current,14.939804441512365,14.548396273472655,14.52801711026145,15.416875371948286
encode,small_json,3,published,100.17740435966085,90.27304920698933,94.90810094845573,105.89139393957961
encode,metadata_json,1,current,69.86382130506573,69.75340594496348,67.73193122515873,71.68220216266586
encode,metadata_json,1,published,115.43489339070302,109.13206658820832,111.50776364226789,119.86689020221665
encode,metadata_json,2,current,72.13199122430989,72.57467740473767,68.8683602286285,75.31182373786613
encode,metadata_json,2,published,114.09529168952513,105.59181416691247,108.91302042745919,120.04762909296905
